"" "description"
"1" "subject" "ID the subject who performed the activity"
"2" "activity" "Activity name"
"3" "featDomain" "Time domain signal or frequency signal"
"4" "featAcceleration" "Acceleration signal"
"5" "featInstrument" "Measuring instrument"
"6" "featJerk" "Jerk signal"
"7" "featMag" "Magnitude of the signals Euclidian norm"
"8" "featVar" "Variable Mean or StD"
"9" "featAxis" "Signals in X,Y,Z dimention"
"10" "count" "Count data points used avarage"
"11" "average" "Average each variable for each activity"
